,index,status,kw,go,score,n_kwgo,n_kw,n_go,R,kw_name,go_name,kw_def,go_def
70,76,,KW-0527,GO:0005179,0.27,223,561,489,2,Neuropeptide,hormone activity, Peptides released by neurons as intercellular messengers. Many neuropeptides are also hormones released by non-neuronal cells. They have direct synaptic effects (peptide neurotransmitters) or indirect modulatory effects on the nervous system (peptide neuromodulators),"The action characteristic of a hormone, any substance formed in very small amounts in one specialized organ or group of cells and carried (sometimes in the bloodstream) to another organ or group of cells in the same organism, upon which it has a specific regulatory action. The term was originally applied to agents with a stimulatory physiological action in vertebrate animals (as opposed to a chalone, which has a depressant action). Usage is now extended to regulatory compounds in lower animals and plants, and to synthetic substances having comparable effects; all bind receptors and trigger some biological process."
71,77,,KW-0527,GO:0001664,0.04,25,561,57,3,Neuropeptide,G-protein coupled receptor binding, Peptides released by neurons as intercellular messengers. Many neuropeptides are also hormones released by non-neuronal cells. They have direct synaptic effects (peptide neurotransmitters) or indirect modulatory effects on the nervous system (peptide neuromodulators),Interacting selectively and non-covalently with a G-protein coupled receptor.
72,78,,KW-0527,GO:0071855,0.04,22,561,27,4,Neuropeptide,neuropeptide receptor binding, Peptides released by neurons as intercellular messengers. Many neuropeptides are also hormones released by non-neuronal cells. They have direct synaptic effects (peptide neurotransmitters) or indirect modulatory effects on the nervous system (peptide neuromodulators),Interacting selectively and non-covalently with a neuropeptide receptor.
73,79,,KW-0527,GO:0001515,0.03,19,561,32,5,Neuropeptide,opioid peptide activity, Peptides released by neurons as intercellular messengers. Many neuropeptides are also hormones released by non-neuronal cells. They have direct synaptic effects (peptide neurotransmitters) or indirect modulatory effects on the nervous system (peptide neuromodulators),"Naturally occurring peptide that is an opioid (any non-alkaloid having an opiate-like effect that can be reversed by naloxone or other recognized morphine antagonist). These include Leu- and Met-enkephalin, dynorphin and neoendorphin, alpha, beta, gamma and delta endorphins formed from beta-lipotropin, various pronase-resistant peptides such as beta casamorphin, and other peptides whose opiate-like action seems to be indirect."
74,178,,KW-0734,GO:0005096,0.38,87,157,158,1,Signal transduction inhibitor,GTPase activator activity," Protein which inhibits signal transduction, the process by which extracellular signals induce intracellular responses. Usually a hormone or neurotransmitter binds to a cell surface receptor which is coupled to a second messenger system, such as that involving cAMP, or to an ion channel. The final downstream consequence of signal transduction is a change in the cell's function, such as a modification in glucose uptake or in cell division. Such a change may be the result of an activation or an inhibition event","Binds to and increases the activity of a GTPase, an enzyme that catalyzes the hydrolysis of GTP."
75,179,,KW-0734,GO:0004860,0.14,26,157,56,2,Signal transduction inhibitor,protein kinase inhibitor activity," Protein which inhibits signal transduction, the process by which extracellular signals induce intracellular responses. Usually a hormone or neurotransmitter binds to a cell surface receptor which is coupled to a second messenger system, such as that involving cAMP, or to an ion channel. The final downstream consequence of signal transduction is a change in the cell's function, such as a modification in glucose uptake or in cell division. Such a change may be the result of an activation or an inhibition event","Stops, prevents or reduces the activity of a protein kinase, an enzyme which phosphorylates a protein."
76,180,,KW-0734,GO:0005159,0.06,10,157,15,3,Signal transduction inhibitor,insulin-like growth factor receptor binding," Protein which inhibits signal transduction, the process by which extracellular signals induce intracellular responses. Usually a hormone or neurotransmitter binds to a cell surface receptor which is coupled to a second messenger system, such as that involving cAMP, or to an ion channel. The final downstream consequence of signal transduction is a change in the cell's function, such as a modification in glucose uptake or in cell division. Such a change may be the result of an activation or an inhibition event",Interacting selectively and non-covalently with the insulin-like growth factor receptor.
77,181,,KW-0734,GO:0001965,0.06,12,157,56,4,Signal transduction inhibitor,G-protein alpha-subunit binding," Protein which inhibits signal transduction, the process by which extracellular signals induce intracellular responses. Usually a hormone or neurotransmitter binds to a cell surface receptor which is coupled to a second messenger system, such as that involving cAMP, or to an ion channel. The final downstream consequence of signal transduction is a change in the cell's function, such as a modification in glucose uptake or in cell division. Such a change may be the result of an activation or an inhibition event",Interacting selectively and non-covalently with a G-protein alpha subunit. The alpha subunit binds a guanine nucleotide.
78,182,,KW-0734,GO:0004871,0.05,13,157,139,5,Signal transduction inhibitor,signal transducer activity," Protein which inhibits signal transduction, the process by which extracellular signals induce intracellular responses. Usually a hormone or neurotransmitter binds to a cell surface receptor which is coupled to a second messenger system, such as that involving cAMP, or to an ion channel. The final downstream consequence of signal transduction is a change in the cell's function, such as a modification in glucose uptake or in cell division. Such a change may be the result of an activation or an inhibition event",Conveys a signal across a cell to trigger a change in cell function or state. A signal is a physical entity or change in state that is used to transfer information in order to trigger a response.
79,114,,KW-0497,GO:0008083,0.37,152,282,284,1,Mitogen,growth factor activity," Protein which can induce mitosis of certain eukaryotic cells, i.e. it stimulates cellular proliferation",The function that stimulates a cell to grow or proliferate. Most growth factors have other actions besides the induction of cell growth or proliferation.
80,115,,KW-0497,GO:0005104,0.18,51,282,58,2,Mitogen,fibroblast growth factor receptor binding," Protein which can induce mitosis of certain eukaryotic cells, i.e. it stimulates cellular proliferation",Interacting selectively and non-covalently with the fibroblast growth factor receptor (FGFR).
81,116,,KW-0497,GO:0008201,0.15,64,282,202,3,Mitogen,heparin binding," Protein which can induce mitosis of certain eukaryotic cells, i.e. it stimulates cellular proliferation","Interacting selectively and non-covalently with heparin, any member of a group of glycosaminoglycans found mainly as an intracellular component of mast cells and which consist predominantly of alternating alpha-(1->4)-linked D-galactose and N-acetyl-D-glucosamine-6-sulfate residues."
82,117,,KW-0497,GO:0005125,0.12,46,282,150,4,Mitogen,cytokine activity," Protein which can induce mitosis of certain eukaryotic cells, i.e. it stimulates cellular proliferation","Functions to control the survival, growth, differentiation and effector function of tissues and cells."
83,118,,KW-0497,GO:0005149,0.08,23,282,41,5,Mitogen,interleukin-1 receptor binding," Protein which can induce mitosis of certain eukaryotic cells, i.e. it stimulates cellular proliferation",Interacting selectively and non-covalently with the interleukin-1 receptor.
84,15,,KW-0678,GO:0003677,0.33,4008,8177,7798,1,Repressor,DNA binding," Protein which interferes with transcription, usually by binding to specific sites on DNA. Also used for proteins which repress translation",Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).
85,16,,KW-0678,GO:0003700,0.18,1834,8177,3676,2,Repressor,DNA binding transcription factor activity," Protein which interferes with transcription, usually by binding to specific sites on DNA. Also used for proteins which repress translation",Interacting selectively and non-covalently with a specific DNA sequence (sometimes referred to as a motif) within the regulatory region of a gene in order to modulate transcription.
86,17,,KW-0678,GO:0008270,0.08,788,8177,2161,3,Repressor,zinc ion binding," Protein which interferes with transcription, usually by binding to specific sites on DNA. Also used for proteins which repress translation",Interacting selectively and non-covalently with zinc (Zn) ions.
87,18,,KW-0678,GO:0046872,0.07,845,8177,5010,4,Repressor,metal ion binding," Protein which interferes with transcription, usually by binding to specific sites on DNA. Also used for proteins which repress translation",Interacting selectively and non-covalently with any metal ion.
88,19,,KW-0678,GO:0000049,0.07,843,8177,4870,5,Repressor,tRNA binding," Protein which interferes with transcription, usually by binding to specific sites on DNA. Also used for proteins which repress translation",Interacting selectively and non-covalently with transfer RNA.
89,10,,KW-0143,GO:0005524,0.31,4378,11245,7412,1,Chaperone,ATP binding," Protein which is transiently involved in the noncovalent folding, assembly and/or disassembly of other polypeptides or RNA molecules, including any transport and oligomerisation processes they may undergo, and the refolding and reassembly of protein and RNA molecules denatured by stress. Though involved in these processes, chaperones are not an integral part of these functioning molecules. Also used for metallochaperones, which function to provide a metal directly to target proteins while protecting this metal from scavengers","Interacting selectively and non-covalently with ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
90,11,,KW-0143,GO:0051082,0.28,3179,11245,3190,2,Chaperone,unfolded protein binding," Protein which is transiently involved in the noncovalent folding, assembly and/or disassembly of other polypeptides or RNA molecules, including any transport and oligomerisation processes they may undergo, and the refolding and reassembly of protein and RNA molecules denatured by stress. Though involved in these processes, chaperones are not an integral part of these functioning molecules. Also used for metallochaperones, which function to provide a metal directly to target proteins while protecting this metal from scavengers",Interacting selectively and non-covalently with an unfolded protein.
91,12,,KW-0143,GO:0016151,0.08,854,11245,900,3,Chaperone,nickel cation binding," Protein which is transiently involved in the noncovalent folding, assembly and/or disassembly of other polypeptides or RNA molecules, including any transport and oligomerisation processes they may undergo, and the refolding and reassembly of protein and RNA molecules denatured by stress. Though involved in these processes, chaperones are not an integral part of these functioning molecules. Also used for metallochaperones, which function to provide a metal directly to target proteins while protecting this metal from scavengers",Interacting selectively and non-covalently with nickel (Ni) cations.
92,13,,KW-0143,GO:0003755,0.08,866,11245,866,4,Chaperone,peptidyl-prolyl cis-trans isomerase activity," Protein which is transiently involved in the noncovalent folding, assembly and/or disassembly of other polypeptides or RNA molecules, including any transport and oligomerisation processes they may undergo, and the refolding and reassembly of protein and RNA molecules denatured by stress. Though involved in these processes, chaperones are not an integral part of these functioning molecules. Also used for metallochaperones, which function to provide a metal directly to target proteins while protecting this metal from scavengers",Catalysis of the reaction: peptidyl-proline (omega=180) = peptidyl-proline (omega=0).
93,14,,KW-0143,GO:0051087,0.07,770,11245,805,5,Chaperone,chaperone binding," Protein which is transiently involved in the noncovalent folding, assembly and/or disassembly of other polypeptides or RNA molecules, including any transport and oligomerisation processes they may undergo, and the refolding and reassembly of protein and RNA molecules denatured by stress. Though involved in these processes, chaperones are not an integral part of these functioning molecules. Also used for metallochaperones, which function to provide a metal directly to target proteins while protecting this metal from scavengers","Interacting selectively and non-covalently with a chaperone protein, a class of proteins that bind to nascent or unfolded polypeptides and ensure correct folding or transport."
94,99,,KW-0518,GO:0003774,0.31,154,372,275,1,Myosin,motor activity, A motor protein which uses the energy provided by the hydrolysis of ATP to drive movements along actin filaments. Different types of myosin are found in eukaryotic cells,"Catalysis of the generation of force resulting either in movement along a microfilament or microtubule, or in torque resulting in membrane scission, coupled to the hydrolysis of a nucleoside triphosphate."
95,100,,KW-0518,GO:0051015,0.17,96,372,289,2,Myosin,actin filament binding, A motor protein which uses the energy provided by the hydrolysis of ATP to drive movements along actin filaments. Different types of myosin are found in eukaryotic cells,"Interacting selectively and non-covalently with an actin filament, also known as F-actin, a helical filamentous polymer of globular G-actin subunits."
96,101,,KW-0518,GO:0000146,0.16,62,372,76,3,Myosin,microfilament motor activity, A motor protein which uses the energy provided by the hydrolysis of ATP to drive movements along actin filaments. Different types of myosin are found in eukaryotic cells,"Catalysis of movement along a microfilament, coupled to the hydrolysis of a nucleoside triphosphate (usually ATP)."
97,102,,KW-0518,GO:0003779,0.15,99,372,367,4,Myosin,actin binding, A motor protein which uses the energy provided by the hydrolysis of ATP to drive movements along actin filaments. Different types of myosin are found in eukaryotic cells,"Interacting selectively and non-covalently with monomeric or multimeric forms of actin, including actin filaments."
98,103,,KW-0518,GO:0030898,0.14,53,372,60,5,Myosin,actin-dependent ATPase activity, A motor protein which uses the energy provided by the hydrolysis of ATP to drive movements along actin filaments. Different types of myosin are found in eukaryotic cells,Catalysis of the reaction: ATP + H2O = ADP + phosphate. This reaction requires the presence of an actin filament to accelerate release of ADP and phosphate.
99,60,,KW-0543,GO:0005198,0.31,285,727,486,1,Viral nucleoprotein,structural molecule activity, Viral protein conjugated with nucleic acid (DNA or RNA),The action of a molecule that contributes to the structural integrity of a complex or its assembly within or outside a cell.
100,61,,KW-0543,GO:0003723,0.13,578,727,4428,2,Viral nucleoprotein,RNA binding, Viral protein conjugated with nucleic acid (DNA or RNA),Interacting selectively and non-covalently with an RNA molecule or a portion thereof.
101,62,,KW-0543,GO:0004190,0.09,64,727,68,3,Viral nucleoprotein,aspartic-type endopeptidase activity, Viral protein conjugated with nucleic acid (DNA or RNA),"Catalysis of the hydrolysis of internal, alpha-peptide bonds in a polypeptide chain by a mechanism in which a water molecule bound by the side chains of aspartic residues at the active center acts as a nucleophile."
102,63,,KW-0543,GO:0003964,0.08,56,727,61,4,Viral nucleoprotein,RNA-directed DNA polymerase activity, Viral protein conjugated with nucleic acid (DNA or RNA),Catalysis of the reaction: deoxynucleoside triphosphate + DNA(n) = diphosphate + DNA(n+1). Catalyzes RNA-template-directed extension of the 3'- end of a DNA strand by one deoxynucleotide at a time.
103,64,,KW-0543,GO:0003887,0.08,68,727,227,5,Viral nucleoprotein,DNA-directed DNA polymerase activity, Viral protein conjugated with nucleic acid (DNA or RNA),Catalysis of the reaction: deoxynucleoside triphosphate + DNA(n) = diphosphate + DNA(n+1); the synthesis of DNA from deoxyribonucleotide triphosphates in the presence of a DNA template and a 3'hydroxyl group.
104,359,,KW-0562,GO:0061629,0.29,9,24,16,1,Pair-rule protein,RNA polymerase II sequence-specific DNA binding transcription factor binding, A protein encoded by a pair-rule gene. These are developmental genes in Drosophila involved in delimiting segments in the early embryos Mutations in pair rule genes affect every alternate segment,"Interacting selectively and non-covalently with a sequence-specific DNA binding RNA polymerase II transcription factor, any of the factors that interact selectively and non-covalently with a specific DNA sequence in order to modulate transcription."
105,360,,KW-0562,GO:0003705,0.02,4,24,188,2,Pair-rule protein,"transcription factor activity, RNA polymerase II distal enhancer sequence-specific binding", A protein encoded by a pair-rule gene. These are developmental genes in Drosophila involved in delimiting segments in the early embryos Mutations in pair rule genes affect every alternate segment,Interacting selectively and non-covalently with a sequence of DNA that is in a distal enhancer region for RNA polymerase II (RNAP II) in order to modulate transcription by RNAP II.
106,361,,KW-0562,GO:0000980,0.02,3,24,139,3,Pair-rule protein,RNA polymerase II distal enhancer sequence-specific DNA binding, A protein encoded by a pair-rule gene. These are developmental genes in Drosophila involved in delimiting segments in the early embryos Mutations in pair rule genes affect every alternate segment,"Interacting selectively and non-covalently with a RNA polymerase II (Pol II) distal enhancer. In mammalian cells, enhancers are distal sequences that increase the utilization of some promoters, and can function in either orientation and in any location (upstream or downstream) relative to the core promoter."
107,362,,KW-0562,GO:0001158,0.01,1,24,57,4,Pair-rule protein,enhancer sequence-specific DNA binding, A protein encoded by a pair-rule gene. These are developmental genes in Drosophila involved in delimiting segments in the early embryos Mutations in pair rule genes affect every alternate segment,"Interacting selectively and non-covalently with a specific sequence of DNA that is part of an enhancer, a transcription regulatory region that is somewhat distal from the core promoter and which enhances transcription from that promoter."
108,363,,KW-0562,GO:0001078,0.01,2,24,272,5,Pair-rule protein,"transcriptional repressor activity, RNA polymerase II proximal promoter sequence-specific DNA binding", A protein encoded by a pair-rule gene. These are developmental genes in Drosophila involved in delimiting segments in the early embryos Mutations in pair rule genes affect every alternate segment,"Interacting selectively and non-covalently with a sequence of DNA that is in cis with and relatively close to a core promoter for RNA polymerase II (RNAP II) in order to stop, prevent, or reduce the frequency, rate or extent of transcription from an RNA polymerase II promoter."
109,247,,KW-0640,GO:0005507,0.28,67,91,217,1,Prion,copper ion binding," Protein which is able to form a prion, a self-propagating protein conformation (infectious protein). Formation of prions involves conversion of the native proteins into an infectious, amyloid form This class of proteins includes the members of the prion family which can form proteinaceous infectious particles responsible for transmissible spongiform encephalopathies (TSE) in many animals, such as Kuru and Creutzfeldt-Jakob syndrome in humans, scrapies in sheep and BSE in cattle. These prion diseases represent special cases of neurodegenerative amyloidoses, because they result from the transmissibility and infectivity of the amyloid",Interacting selectively and non-covalently with copper (Cu) ions.
110,248,,KW-0640,GO:0031802,0.11,10,91,13,2,Prion,type 5 metabotropic glutamate receptor binding," Protein which is able to form a prion, a self-propagating protein conformation (infectious protein). Formation of prions involves conversion of the native proteins into an infectious, amyloid form This class of proteins includes the members of the prion family which can form proteinaceous infectious particles responsible for transmissible spongiform encephalopathies (TSE) in many animals, such as Kuru and Creutzfeldt-Jakob syndrome in humans, scrapies in sheep and BSE in cattle. These prion diseases represent special cases of neurodegenerative amyloidoses, because they result from the transmissibility and infectivity of the amyloid",Interacting selectively and non-covalently with a type 5 metabotropic glutamate receptor.
111,249,,KW-0640,GO:1903136,0.1,10,91,15,3,Prion,cuprous ion binding," Protein which is able to form a prion, a self-propagating protein conformation (infectious protein). Formation of prions involves conversion of the native proteins into an infectious, amyloid form This class of proteins includes the members of the prion family which can form proteinaceous infectious particles responsible for transmissible spongiform encephalopathies (TSE) in many animals, such as Kuru and Creutzfeldt-Jakob syndrome in humans, scrapies in sheep and BSE in cattle. These prion diseases represent special cases of neurodegenerative amyloidoses, because they result from the transmissibility and infectivity of the amyloid","Interacting selectively and non-covalently with cuprous ion, copper(1+)."
112,250,,KW-0640,GO:0005539,0.09,9,91,22,4,Prion,glycosaminoglycan binding," Protein which is able to form a prion, a self-propagating protein conformation (infectious protein). Formation of prions involves conversion of the native proteins into an infectious, amyloid form This class of proteins includes the members of the prion family which can form proteinaceous infectious particles responsible for transmissible spongiform encephalopathies (TSE) in many animals, such as Kuru and Creutzfeldt-Jakob syndrome in humans, scrapies in sheep and BSE in cattle. These prion diseases represent special cases of neurodegenerative amyloidoses, because they result from the transmissibility and infectivity of the amyloid",Interacting selectively and non-covalently with any glycan (polysaccharide) containing a substantial proportion of aminomonosaccharide residues.
113,251,,KW-0640,GO:1903135,0.08,8,91,12,5,Prion,cupric ion binding," Protein which is able to form a prion, a self-propagating protein conformation (infectious protein). Formation of prions involves conversion of the native proteins into an infectious, amyloid form This class of proteins includes the members of the prion family which can form proteinaceous infectious particles responsible for transmissible spongiform encephalopathies (TSE) in many animals, such as Kuru and Creutzfeldt-Jakob syndrome in humans, scrapies in sheep and BSE in cattle. These prion diseases represent special cases of neurodegenerative amyloidoses, because they result from the transmissibility and infectivity of the amyloid","Interacting selectively and non-covalently with cupric ion, copper(2+)."
114,237,,KW-0494,GO:0005215,0.27,38,96,83,1,Milk protein,transporter activity," Protein found in milk, a fluid secreted by female mammals to provide food for their offspring. It consists of water, proteins, soluble carbohydrates, electrolytes, lipids and vitamins","Enables the directed movement of substances (such as macromolecules, small molecules, ions) into, out of or within a cell, or between cells."
115,238,,KW-0494,GO:0004461,0.19,18,96,19,2,Milk protein,lactose synthase activity," Protein found in milk, a fluid secreted by female mammals to provide food for their offspring. It consists of water, proteins, soluble carbohydrates, electrolytes, lipids and vitamins",Catalysis of the reaction: UDP-galactose + D-glucose = UDP + lactose.
116,239,,KW-0494,GO:0019841,0.19,18,96,18,3,Milk protein,retinol binding," Protein found in milk, a fluid secreted by female mammals to provide food for their offspring. It consists of water, proteins, soluble carbohydrates, electrolytes, lipids and vitamins","Interacting selectively and non-covalently with retinol, vitamin A1, 2,6,6-trimethyl-1-(9'-hydroxy-3',7'-dimethylnona-1',3',5',7'-tetraenyl)cyclohex-1-ene, one of the three components that makes up vitamin A. Retinol is an intermediate in the vision cycle and it also plays a role in growth and differentiation."
117,240,,KW-0494,GO:0003796,0.05,15,96,192,4,Milk protein,lysozyme activity," Protein found in milk, a fluid secreted by female mammals to provide food for their offspring. It consists of water, proteins, soluble carbohydrates, electrolytes, lipids and vitamins",Catalysis of the hydrolysis of the beta-(1->4) linkages between N-acetylmuramic acid and N-acetyl-D-glucosamine residues in a peptidoglycan.
118,241,,KW-0494,GO:0030414,0.04,5,96,49,5,Milk protein,peptidase inhibitor activity," Protein found in milk, a fluid secreted by female mammals to provide food for their offspring. It consists of water, proteins, soluble carbohydrates, electrolytes, lipids and vitamins","Stops, prevents or reduces the activity of a peptidase, any enzyme that catalyzes the hydrolysis peptide bonds."
119,50,,KW-0505,GO:0003777,0.27,249,919,251,1,Motor protein,microtubule motor activity," Protein that walks or slides along microtubules or microfilaments using the energy provided by ATP or GTP hydrolysis, e.g. dyneins, myosins and kinesins. Or protein which mediates motility by other non enzymatic processes, e.g. prestin, a bidirectional voltage-to-force converter","Catalysis of movement along a microtubule, coupled to the hydrolysis of a nucleoside triphosphate (usually ATP)."
120,51,,KW-0505,GO:0003774,0.27,251,919,275,2,Motor protein,motor activity," Protein that walks or slides along microtubules or microfilaments using the energy provided by ATP or GTP hydrolysis, e.g. dyneins, myosins and kinesins. Or protein which mediates motility by other non enzymatic processes, e.g. prestin, a bidirectional voltage-to-force converter","Catalysis of the generation of force resulting either in movement along a microfilament or microtubule, or in torque resulting in membrane scission, coupled to the hydrolysis of a nucleoside triphosphate."
121,52,,KW-0505,GO:0008017,0.26,268,919,382,3,Motor protein,microtubule binding," Protein that walks or slides along microtubules or microfilaments using the energy provided by ATP or GTP hydrolysis, e.g. dyneins, myosins and kinesins. Or protein which mediates motility by other non enzymatic processes, e.g. prestin, a bidirectional voltage-to-force converter","Interacting selectively and non-covalently with microtubules, filaments composed of tubulin monomers."
122,53,,KW-0505,GO:0016887,0.1,177,919,991,4,Motor protein,ATPase activity," Protein that walks or slides along microtubules or microfilaments using the energy provided by ATP or GTP hydrolysis, e.g. dyneins, myosins and kinesins. Or protein which mediates motility by other non enzymatic processes, e.g. prestin, a bidirectional voltage-to-force converter",Catalysis of the reaction: ATP + H2O = ADP + phosphate + 2 H+. May or may not be coupled to another reaction.
123,54,,KW-0505,GO:0003779,0.09,105,919,367,5,Motor protein,actin binding," Protein that walks or slides along microtubules or microfilaments using the energy provided by ATP or GTP hydrolysis, e.g. dyneins, myosins and kinesins. Or protein which mediates motility by other non enzymatic processes, e.g. prestin, a bidirectional voltage-to-force converter","Interacting selectively and non-covalently with monomeric or multimeric forms of actin, including actin filaments."
124,301,,KW-0666,GO:0005149,0.27,18,43,41,1,Pyrogen,interleukin-1 receptor binding," Protein producing fever. The major endogenous pyrogen in mammals is probably interleukin-1, which is produced by activated macrophages and acts on the hypothalamic thermoregulatory centre",Interacting selectively and non-covalently with the interleukin-1 receptor.
125,302,,KW-0666,GO:0005125,0.14,24,43,150,2,Pyrogen,cytokine activity," Protein producing fever. The major endogenous pyrogen in mammals is probably interleukin-1, which is produced by activated macrophages and acts on the hypothalamic thermoregulatory centre","Functions to control the survival, growth, differentiation and effector function of tissues and cells."
126,303,,KW-0666,GO:0005507,0.07,17,43,217,3,Pyrogen,copper ion binding," Protein producing fever. The major endogenous pyrogen in mammals is probably interleukin-1, which is produced by activated macrophages and acts on the hypothalamic thermoregulatory centre",Interacting selectively and non-covalently with copper (Cu) ions.
127,304,,KW-0666,GO:0019904,0.01,2,43,261,4,Pyrogen,protein domain specific binding," Protein producing fever. The major endogenous pyrogen in mammals is probably interleukin-1, which is produced by activated macrophages and acts on the hypothalamic thermoregulatory centre",Interacting selectively and non-covalently with a specific domain of a protein.
128,20,,KW-0010,GO:0003677,0.26,3095,7081,7798,1,Activator,DNA binding," Protein that positively regulates either the transcription of one or more genes, or the translation of mRNA",Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).
129,21,,KW-0010,GO:0003700,0.17,1588,7081,3676,2,Activator,DNA binding transcription factor activity," Protein that positively regulates either the transcription of one or more genes, or the translation of mRNA",Interacting selectively and non-covalently with a specific DNA sequence (sometimes referred to as a motif) within the regulatory region of a gene in order to modulate transcription.
130,22,,KW-0010,GO:0043565,0.14,1165,7081,2464,3,Activator,sequence-specific DNA binding," Protein that positively regulates either the transcription of one or more genes, or the translation of mRNA","Interacting selectively and non-covalently with DNA of a specific nucleotide composition, e.g. GC-rich DNA binding, or with a specific sequence motif or type of DNA e.g. promotor binding or rDNA binding."
131,23,,KW-0010,GO:0001104,0.07,461,7081,470,4,Activator,RNA polymerase II transcription cofactor activity," Protein that positively regulates either the transcription of one or more genes, or the translation of mRNA","Interacting selectively and non-covalently with an RNA polymerase II (RNAP II) regulatory transcription factor and also with the RNAP II basal transcription machinery in order to modulate transcription. Cofactors generally do not bind DNA, but rather mediate protein-protein interactions between regulatory transcription factors and the basal RNAP II transcription machinery."
132,24,,KW-0010,GO:0046872,0.07,798,7081,5010,5,Activator,metal ion binding," Protein that positively regulates either the transcription of one or more genes, or the translation of mRNA",Interacting selectively and non-covalently with any metal ion.
133,385,,KW-0086,GO:0003823,0.26,7,8,26,1,Bence-Jones protein,antigen binding, Protein which is a dimer of immunoglobulin light chains synthesized in large amounts by patients who have myeloma or bone marrow tumor Bence-Jones protein is sufficiently small to be excreted by the kidney into urine,"Interacting selectively and non-covalently with an antigen, any substance which is capable of inducing a specific immune response and of reacting with the products of that response, the specific antibody or specifically sensitized T-lymphocytes, or both. Binding may counteract the biological activity of the antigen."
134,386,,KW-0086,GO:0034987,0.07,1,8,7,2,Bence-Jones protein,immunoglobulin receptor binding, Protein which is a dimer of immunoglobulin light chains synthesized in large amounts by patients who have myeloma or bone marrow tumor Bence-Jones protein is sufficiently small to be excreted by the kidney into urine,Interacting selectively and non-covalently with one or more specific sites on an immunoglobulin receptor molecule.
135,278,,KW-0721,GO:0030492,0.26,16,57,21,1,Serine protease homolog,hemoglobin binding, Protein which is related to serine proteases but seems to have no proteolytic activity,"Interacting selectively and non-covalently with hemoglobin, an oxygen carrying, conjugated protein containing four heme groups and globin."
136,279,,KW-0721,GO:0016209,0.08,7,57,36,2,Serine protease homolog,antioxidant activity, Protein which is related to serine proteases but seems to have no proteolytic activity,"Inhibition of the reactions brought about by dioxygen (O2) or peroxides. Usually the antioxidant is effective because it can itself be more easily oxidized than the substance protected. The term is often applied to components that can trap free radicals, thereby breaking the chain reaction that normally leads to extensive biological damage."
137,280,,KW-0721,GO:0042056,0.05,5,57,40,3,Serine protease homolog,chemoattractant activity, Protein which is related to serine proteases but seems to have no proteolytic activity,Providing the environmental signal that initiates the directed movement of a motile cell or organism towards a higher concentration of that signal.
138,281,,KW-0721,GO:0004252,0.04,20,57,418,4,Serine protease homolog,serine-type endopeptidase activity, Protein which is related to serine proteases but seems to have no proteolytic activity,"Catalysis of the hydrolysis of internal, alpha-peptide bonds in a polypeptide chain by a catalytic mechanism that involves a catalytic triad consisting of a serine nucleophile that is activated by a proton relay involving an acidic residue (e.g. aspartate or glutamate) and a basic residue (usually histidine)."
139,282,,KW-0721,GO:0030971,0.03,3,57,33,5,Serine protease homolog,receptor tyrosine kinase binding, Protein which is related to serine proteases but seems to have no proteolytic activity,Interacting selectively and non-covalently with a receptor that possesses protein tyrosine kinase activity.
140,344,,KW-0795,GO:0070324,0.25,12,28,32,1,Thyroid hormone,thyroid hormone binding, Protein precursor of thyroid hormones which are secreted by the thymus gland and participate in the development of the lymphoid system as well as the maturation of the cellular immune response. Also used for proteins which bind thyroid hormones or thyroid hormone receptor antagonists,"Interacting selectively and non-covalently with thyroxine (T4) or triiodothyronine (T3), tyrosine-based hormones produced by the thyroid gland."
141,345,,KW-0795,GO:0036094,0.07,2,28,3,2,Thyroid hormone,small molecule binding, Protein precursor of thyroid hormones which are secreted by the thymus gland and participate in the development of the lymphoid system as well as the maturation of the cellular immune response. Also used for proteins which bind thyroid hormones or thyroid hormone receptor antagonists,"Interacting selectively and non-covalently with a small molecule, any low molecular weight, monomeric, non-encoded molecule."
142,346,,KW-0795,GO:0005179,0.05,24,28,489,3,Thyroid hormone,hormone activity, Protein precursor of thyroid hormones which are secreted by the thymus gland and participate in the development of the lymphoid system as well as the maturation of the cellular immune response. Also used for proteins which bind thyroid hormones or thyroid hormone receptor antagonists,"The action characteristic of a hormone, any substance formed in very small amounts in one specialized organ or group of cells and carried (sometimes in the bloodstream) to another organ or group of cells in the same organism, upon which it has a specific regulatory action. The term was originally applied to agents with a stimulatory physiological action in vertebrate animals (as opposed to a chalone, which has a depressant action). Usage is now extended to regulatory compounds in lower animals and plants, and to synthetic substances having comparable effects; all bind receptors and trigger some biological process."
143,347,,KW-0795,GO:0043168,0.04,1,28,1,4,Thyroid hormone,anion binding, Protein precursor of thyroid hormones which are secreted by the thymus gland and participate in the development of the lymphoid system as well as the maturation of the cellular immune response. Also used for proteins which bind thyroid hormones or thyroid hormone receptor antagonists,"Interacting selectively and non-covalently with anions, charged atoms or groups of atoms with a net negative charge."
